,listing_id,listing_url,price_type,kilometers,year,city,price,on_road_costs,scraped_on,price_total,predicted_price,discount
0,2778878348,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/2778878348,asking,170487,2011,Invercargill,10990.0,1,2021-09-16 10:23:41.411763,10990.0,12553.250417988867,12.452953346240287
10,2952174962,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/2952174962,asking,106000,2007,"East Tamaki,",9990.0,0,2021-09-16 10:25:05.981350,10290.0,10498.354511957468,1.984639704442783
13,2958179256,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/2958179256,asking,124971,2009,"Mount Roskill, Auckland",10780.0,0,2021-09-16 10:25:29.046118,11080.0,12028.103890520353,7.882405233193715
40,3014611877,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3014611877,asking,163000,2010,Gore,9450.0,0,2021-09-16 10:29:42.906550,9750.0,11645.759501032011,16.278538989784348
41,3014824702,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3014824702,asking,99000,2008,"Penrose, Auckland",11500.0,0,2021-09-16 10:29:50.419713,11800.0,11907.533627020515,0.903072209483419
44,3017316297,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3017316297,asking,92250,2013,"Sydenham, Christchurch",16950.0,0,2021-09-16 10:30:20.874394,17250.0,20239.761517603394,14.771723051198352
48,3026123092,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3026123092,asking,41000,2010,"Sockburn, Christchurch",15980.0,0,2021-09-16 10:30:54.690735,16280.0,17880.608955314798,8.951646777326538
54,3035261238,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3035261238,asking,102000,2012,"Phillipstown, Christchurch",16990.0,0,2021-09-16 10:31:53.588359,17290.0,17672.8808994641,2.166488314170162
55,3037281039,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3037281039,asking,79000,2010,"Sockburn, Christchurch",13450.0,0,2021-09-16 10:32:00.913146,13750.0,15645.198271767793,12.113609804407096
60,3052571019,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3052571019,asking,58000,2012,"Sydenham, Christchurch",17950.0,0,2021-09-16 10:32:36.369468,18250.0,20628.453682485535,11.529965934891894
